"","screen_name","text","lang","name","location","description","account_lang","place_name","place_full_name","place_type","country","country_code","user_id","status_id","created_at","source","display_text_width","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","ext_media_type","quoted_status_id","quoted_text","quoted_created_at","quoted_source","quoted_favorite_count","quoted_retweet_count","quoted_user_id","quoted_screen_name","quoted_name","quoted_followers_count","quoted_friends_count","quoted_statuses_count","quoted_location","quoted_description","quoted_verified","retweet_status_id","retweet_text","retweet_created_at","retweet_source","retweet_favorite_count","retweet_retweet_count","retweet_user_id","retweet_screen_name","retweet_name","retweet_followers_count","retweet_friends_count","retweet_statuses_count","retweet_location","retweet_description","retweet_verified","place_url","status_url","url","protected","followers_count","friends_count","listed_count","statuses_count","favourites_count","account_created_at","verified","profile_url","profile_expanded_url","profile_banner_url","profile_background_url","profile_image_url"
"11","barselona328832","Наращивание ресниц, брови с выездом на дом https://t.co/oGU6bLNF01","ru","Аня Лаврова","London, England","","ru",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","JoePlumridge","Ajax ticket bagged!!!","nl","jose","Croydon, London","👻
 🏴󠁧󠁢󠁥󠁮󠁧󠁿🇮🇱","en","Croydon","Croydon, London","city","United Kingdom","GB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","kristelpalad","@nikkisalcs Yasss oh kailan na inom natin","tl","Kristel 💄","Baker Street","2000s R&B Personified 🌈","en",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","agumi_k","@suitingtseng 第一個學期比較不會控管預算，生活上多了額外的開銷，從今年開始慢慢調整生活費從100降到70，真的好困難啊！幾乎每餐都要自煮才活得下去。如果要生活的平衡，在倫敦感覺一週120才能活得比較自在舒服😢","zh","黑眼,圈［倫敦攻略中］","London, England","Journalism Student / 論文地獄中，廢推連發","zh-tw",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","agumi_k","@suitingtseng 第一個學期比較不會控管預算，生活上多了額外的開銷，從今年開始慢慢調整生活費從100降到70，真的好困難啊！幾乎每餐都要自煮才活得下去。如果要生活的平衡，在倫敦感覺一週120才能活得比較自在舒服😢","zh","黑眼,圈［倫敦攻略中］","London, England","Journalism Student / 論文地獄中，廢推連發","zh-tw",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","UzmanHaneef","@geonews_urdu Kaam karnay ko tou kuch hai mae, zahir hai.","hi","usman hanif","London","A regular guy with some serious apetite ☺️","en-gb",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","jhshopeworld","@cosmosmin omg saranghey oppar 😍😭","no","maude","london","#JUNGKOOK: let’s get this bread !!","en",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","s_liddar","@Kang_______ Hahaha still relevant 😂","sv","Liddar","London","","en",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","chefgarner1","#LOBFINAL5
1.Kyler Murray
2. Quinnen Williams
3. Nick Bosa
4. Josh Allen
5. Devon White","fi","Joshua Garner","London, England","Head Chef across the continent and London town, from the heart of Texas","en-gb",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","ExchangeNews","Mandatory Notification Of Trades - Oslo Børs VPS Holding ASA https://t.co/1b7M5ooUFp","da","Mondo Visione","United Kingdom, London","Mondo Visione is the leading source of insight and knowledge about the world’s exchanges and trading venues.","en",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","adzgb","Aresztować wszystkich zwolenników #PiS! Będzie łatwiej policzyć głosy...
#Plastusie","pl","Artur D. Zysk 🇵🇱","London, England","Nie chciejcie ojczyzny która was nic nie kosztuje.","en",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","razzblues","@my55cents Buzdar is Wasim Akram plus","hu","Blue on Blue","London, England","Citizen of the Country everybody's an expert on.","en",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","lucky_gravity","@Sadeghaneha @ham3dsal3hi نکست تایم بادی 😉","fa","Saman Gravity","London, England","Anarchist | Bitcoiner","en",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","twiroy","ההדלפה אגב נוגעת לאישור המסתמן של חברה סינית לספק תשתיות לתקשורת סלולרית 5G","iw","roy Touitou روي تويتو","London, England","Israeli born, tech sales professional, love Israel and therefor hate Bibi. **my posts represent my own opinions only, and don’t represent my employer’s**","he",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","ChNaveedBashir","قادیانی اور رافضی جب تک علی الاعلان اپنے شیطانی عقائد سے توبہ نہ کر لیں انکی بات کو لغو اور فسق جاننا چاہیے کیونکہ اندرون وہ منافق ہوتے ہیں۔
⁦#RemoveShehlaRaza","ur","Ch. Naveed  Bashir","London","","en",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","SteveHarmasch","@vla_ukraine Зрозумів)","uk","🍏 Добрий Ранок!","London, England","Current Project: To be a better person. 🇬🇧🇬🇮🇺🇦","en",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","eggybmbs","Si cumberbatch at hiddleston na lang ga ang magpapakilig sa akin?????!","tl","The Woman","221B Baker Street","The Woman has no name.","en",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","PBalalas","Ready.
Steady.
Go!

Καλεσμενος για συνέντευξη σε τοπικό ραδιόφωνο 🤘🎙📻
Καλό απόγευμα σε όλους! https://t.co/j5622jBxCt","el","Panagiotis Balalas","London, England","Με ακούς κάθε Παρασκευή απόγευμα στις 6μμ ώρα Αγγλίας και στις 8μμ ώρα Ελλάδας στο London Greek Radio 103.3 fm 📻🎙️🏆
https://t.co/dXE9n2NUf1","en",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","punchosaurus","@KATUNews A 1988 Chrysler New Yorker.","cs","Name cannot be blank","PNW","hashtag whatever
•
my posts auto-delete","en",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","HavasEmily","cupidatat non proident, sunt in culpa qui offi 0.536094120655796 a deserunt mollit anim id est laborum.0.4452417603415433","ro","Emily Havas","London","","en",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","ADDMoore93","@jasonschreier Schreier with he HOT tips good to know.","en","ADDMoore","london","I am a man of fortune and I must seek my fortune. Henry Avery 1694","en",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","barselona328832","Ламинирование, Окрашивание ресниц / Brazilian Waxing https://t.co/w8AZXFwLxw","bg","Аня Лаврова","London, England","","ru",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","ViktorStevich","@kezhmanprvi Није то мој стил","sr","Виктор Стевич","London, England","Вечити опозиционер https://t.co/MTVzmfGZkx Сите што вреѓаат ќе бидат блокирани","en",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","GSamacharUK","હાઉસ ઓફ લોર્ડ્સમાં મને જલિયાંવાલા બાગ હત્યાકાંડનો ઈતિહાસ શીખવા મળ્યો-https://t.co/lctyK8Rm48 https://t.co/rfusfBOdyU","gu","Gujarat Samachar UK","London, Britain","૮ લાખ ગુજરાતીઅોનું નેતૃત્વ કરતું 'ગુજરાત સમાચાર' સાપ્તાહિક ૪૬મા વર્ષમાં પ્રવેશ્યું છે અને તેનો ફેલાવો બ્રિટન, યુરોપ, અમેરિકા, ભારત, આફ્રિકા સુધી ફેલાયેલો છે.","en",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","FightAnand","पाप धुणार गंगेने, 
मुले होणार आंब्याने
रोग बरे होणार भस्माने आणि युद्ध जिंकणार शापाने
आता देश महासत्ता होणारच..! 

#NewIndia under @BJP4India 
@waglenikhil @ameytirodkar @adtpatil","mr","Anand Mangnale","India & London","Feminist|Nomad|SocioPolitical Campaigner|We change world 4 better|PeoplePower| @crowdnewsing @ourdemocracyin |MA Media Campaigning Social Change @UniWestminster","en",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","phegde127","ಎಲ್ಲಾ ಕನ್ನಡ ಬಾಂಧವರಲ್ಲಿ ಪ್ರಾರ್ಥನೆ, ನಾಳೆ ಹೆಚ್ಚಿನ ಸಂಖೆಯಲ್ಲಿ ದೇಶದ ಅಭಿರ್ವದ್ಧಿ ಮತ್ತು ಸುರಕ್ಷೆ ಸಲುವಾಗಿ ಮತದಾನ ಮಾಡಿ ಭಾರತವನ್ನು ಗೆಲ್ಲಿಸಿ. #ನೋಟಾ_ಬೇಡಾ_ನೇತಾ_ಬೇಕು #ಕಮಲಕ್ಕೆ_ಮತ_ದೇಶಕ್ಕೆ_ಹಿತ","kn","Chowkidar Pradeep","London, UK","Engineering Consultant","en",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","Abnetalemayhu","የዶሮ ብልት በአቆጣጠሩ ፲፪ ነው። ይህቺ ዶሮ በ፲፪ ብልት ብትታነፅም ፩ ዶሮ እንጂ አሥራ ሁለት ሆና አታውቅም። #ኢትዮጲያ
             💚💛❤","am","ABU","London","የጥበብ መጀመርያ እግዚአብሔርን መፍራት ነው።","en",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","AlloyNdukwe","@NACANigeria FLSU36 #CALL2666 #NACA","is","alorima","London","official site of Alloy..  a sports, political and entertainment guru.... I like to love and be loved","en",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","Araik_Sargsyan","Մակեդոնիայի կառավարությունը պատրաստ է ճանաչել Լեռնային Ղարաբաղի անկախությունը - Այսօր` թարմ լուրեր Հայաստանից https://t.co/roS23oltrY","hy","Arayik_Sargsyan","London","Academician,President of Geopolitical Academy.We estimate the political,financial status of countries,their future.Connect us by e-mail: araiksargsyan@yahoo.com","ru",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","skiespointeight","Blue rose : song mino bukan? https://t.co/C7oVmDZcfr","in","byefangirl","London, England","2019 will be amazing

9 des 2018 :MINO WORE MY GIFT

 
Bye fangirl addicted.","id",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
